GRID Exact Cut ID,Easting,Northing,Borough
1,510500,203500,Non GLA
2,511500,203500,Non GLA
3,512500,203500,Non GLA
4,515500,203500,Non GLA
5,516500,203500,Non GLA
6,517500,203500,Non GLA
7,518500,203500,Non GLA
8,519500,203500,Non GLA
9,508500,202500,Non GLA
10,509500,202500,Non GLA
11,510500,202500,Non GLA
12,511500,202500,Non GLA
13,512500,202500,Non GLA
14,513500,202500,Non GLA
15,514500,202500,Non GLA
16,515500,202500,Non GLA
17,516500,202500,Non GLA
18,517500,202500,Non GLA
19,518500,202500,Non GLA
20,519500,202500,Non GLA
21,520500,202500,Non GLA
22,507500,201500,Non GLA
23,508500,201500,Non GLA
24,509500,201500,Non GLA
25,510500,201500,Non GLA
26,511500,201500,Non GLA
27,512500,201500,Non GLA
28,513500,201500,Non GLA
29,514500,201500,Non GLA
30,515500,201500,Non GLA
31,516500,201500,Non GLA
32,517500,201500,Non GLA
33,518500,201500,Non GLA
34,519500,201500,Non GLA
35,520500,201500,Non GLA
36,521500,201500,Non GLA
37,543500,201500,Non GLA
38,544500,201500,Non GLA
39,545500,201500,Non GLA
40,507500,200500,Non GLA
41,508500,200500,Non GLA
42,509500,200500,Non GLA
43,510500,200500,Non GLA
44,511500,200500,Non GLA
45,512500,200500,Non GLA
46,513500,200500,Non GLA
47,514500,200500,Non GLA
48,515500,200500,Non GLA
49,516500,200500,Non GLA
50,517500,200500,Non GLA
51,518500,200500,Non GLA
52,519500,200500,Non GLA
53,520500,200500,Non GLA
54,521500,200500,Non GLA
55,522500,200500,Non GLA
56,523500,200500,Non GLA
57,524500,200500,Non GLA
58,538500,200500,Non GLA
59,539500,200500,Non GLA
60,540500,200500,Non GLA
61,541500,200500,Non GLA
62,542500,200500,Non GLA
63,543500,200500,Non GLA
64,544500,200500,Non GLA
65,545500,200500,Non GLA
66,546500,200500,Non GLA
67,547500,200500,Non GLA
68,506500,199500,Non GLA
69,507500,199500,Non GLA
70,508500,199500,Non GLA
71,509500,199500,Non GLA
72,510500,199500,Non GLA
73,511500,199500,Non GLA
74,512500,199500,Non GLA
75,513500,199500,Non GLA
76,514500,199500,Non GLA
77,515500,199500,Non GLA
78,516500,199500,Non GLA
79,517500,199500,Non GLA
80,518500,199500,Non GLA
81,519500,199500,Non GLA
82,520500,199500,Non GLA
83,521500,199500,Non GLA
84,522500,199500,Non GLA
85,523500,199500,Non GLA
86,524500,199500,Non GLA
87,538500,199500,Non GLA
88,539500,199500,Non GLA
89,540500,199500,Non GLA
90,541500,199500,Non GLA
91,542500,199500,Non GLA
92,543500,199500,Non GLA
93,544500,199500,Non GLA
94,545500,199500,Non GLA
95,546500,199500,Non GLA
96,547500,199500,Non GLA
97,548500,199500,Non GLA
98,504500,198500,Non GLA
99,505500,198500,Non GLA
100,506500,198500,Non GLA
101,507500,198500,Non GLA
102,508500,198500,Non GLA
103,509500,198500,Non GLA
104,510500,198500,Non GLA
105,511500,198500,Non GLA
106,512500,198500,Non GLA
107,513500,198500,Non GLA
108,514500,198500,Non GLA
109,515500,198500,Non GLA
110,516500,198500,Non GLA
111,538500,198500,Non GLA
112,539500,198500,Non GLA
113,540500,198500,Non GLA
114,541500,198500,Non GLA
115,542500,198500,Non GLA
116,543500,198500,Non GLA
117,544500,198500,Non GLA
118,545500,198500,Non GLA
119,546500,198500,Non GLA
120,547500,198500,Non GLA
121,548500,198500,Non GLA
122,549500,198500,Non GLA
123,550500,198500,Non GLA
124,504500,197500,Non GLA
125,505500,197500,Non GLA
126,506500,197500,Non GLA
127,507500,197500,Non GLA
128,508500,197500,Non GLA
129,509500,197500,Non GLA
130,510500,197500,Non GLA
131,511500,197500,Non GLA
132,512500,197500,Non GLA
133,513500,197500,Non GLA
134,514500,197500,Non GLA
135,515500,197500,Non GLA
136,516500,197500,Non GLA
137,538500,197500,Non GLA
138,539500,197500,Non GLA
139,540500,197500,Non GLA
140,541500,197500,Non GLA
141,542500,197500,Non GLA
142,543500,197500,Non GLA
143,544500,197500,Non GLA
144,545500,197500,Non GLA
145,546500,197500,Non GLA
146,547500,197500,Non GLA
147,548500,197500,Non GLA
148,549500,197500,Non GLA
149,550500,197500,Non GLA
150,551500,197500,Non GLA
151,552500,197500,Non GLA
152,503500,196500,Non GLA
153,504500,196500,Non GLA
154,505500,196500,Non GLA
155,506500,196500,Non GLA
156,507500,196500,Non GLA
157,508500,196500,Non GLA
158,509500,196500,Non GLA
159,510500,196500,Non GLA
160,511500,196500,Non GLA
161,512500,196500,Non GLA
162,513500,196500,Non GLA
163,514500,196500,Non GLA
164,515500,196500,Non GLA
165,516500,196500,Non GLA
166,541500,196500,Non GLA
167,542500,196500,Non GLA
168,543500,196500,Non GLA
169,544500,196500,Non GLA
170,545500,196500,Non GLA
171,546500,196500,Non GLA
172,547500,196500,Non GLA
173,548500,196500,Non GLA
174,549500,196500,Non GLA
175,550500,196500,Non GLA
176,551500,196500,Non GLA
177,552500,196500,Non GLA
178,553500,196500,Non GLA
179,503500,195500,Non GLA
180,504500,195500,Non GLA
181,505500,195500,Non GLA
182,506500,195500,Non GLA
183,507500,195500,Non GLA
184,508500,195500,Non GLA
185,509500,195500,Non GLA
186,510500,195500,Non GLA
187,511500,195500,Non GLA
188,512500,195500,Non GLA
189,513500,195500,Non GLA
190,514500,195500,Non GLA
191,515500,195500,Non GLA
192,516500,195500,Non GLA
193,541500,195500,Non GLA
194,542500,195500,Non GLA
195,543500,195500,Non GLA
196,544500,195500,Non GLA
197,545500,195500,Non GLA
198,546500,195500,Non GLA
199,547500,195500,Non GLA
200,548500,195500,Non GLA
201,549500,195500,Non GLA
202,550500,195500,Non GLA
203,551500,195500,Non GLA
204,552500,195500,Non GLA
205,553500,195500,Non GLA
206,554500,195500,Non GLA
207,502500,194500,Non GLA
208,503500,194500,Non GLA
209,504500,194500,Non GLA
210,505500,194500,Non GLA
211,506500,194500,Non GLA
212,507500,194500,Non GLA
213,508500,194500,Non GLA
214,509500,194500,Non GLA
215,502500,193500,Non GLA
216,502500,192500,Non GLA
217,502500,191500,Non GLA
218,501500,190500,Non GLA
219,502500,190500,Non GLA
220,501500,189500,Non GLA
221,502500,189500,Non GLA
222,501500,188500,Non GLA
223,502500,188500,Non GLA
224,501500,187500,Non GLA
225,502500,187500,Non GLA
226,501500,186500,Non GLA
227,502500,186500,Non GLA
228,501500,185500,Non GLA
229,502500,185500,Non GLA
230,502500,184500,Non GLA
231,555500,177500,Non GLA
232,556500,177500,Non GLA
233,557500,177500,Non GLA
234,555500,176500,Non GLA
235,556500,176500,Non GLA
236,557500,176500,Non GLA
237,555500,175500,Non GLA
238,556500,175500,Non GLA
239,502500,174500,Non GLA
240,555500,174500,Non GLA
241,556500,174500,Non GLA
242,502500,173500,Non GLA
243,555500,173500,Non GLA
244,501500,172500,Non GLA
245,502500,172500,Non GLA
246,503500,172500,Non GLA
247,504500,172500,Non GLA
248,505500,172500,Non GLA
249,506500,172500,Non GLA
250,555500,172500,Non GLA
251,501500,171500,Non GLA
252,502500,171500,Non GLA
253,503500,171500,Non GLA
