GRID Exact Cut ID,Easting,Northing
1,510500,203500
2,511500,203500
3,512500,203500
4,515500,203500
5,516500,203500
6,517500,203500
7,518500,203500
8,519500,203500
9,508500,202500
10,509500,202500
11,510500,202500
12,511500,202500
13,512500,202500
14,513500,202500
15,514500,202500
16,515500,202500
17,516500,202500
18,517500,202500
19,518500,202500
20,519500,202500
21,520500,202500
22,507500,201500
23,508500,201500
24,509500,201500
25,510500,201500
26,511500,201500
27,512500,201500
28,513500,201500
29,514500,201500
30,515500,201500
31,516500,201500
32,517500,201500
33,518500,201500
34,519500,201500
35,520500,201500
36,521500,201500
37,543500,201500
38,544500,201500
39,545500,201500
40,507500,200500
41,508500,200500
42,509500,200500
43,510500,200500
44,511500,200500
45,512500,200500
46,513500,200500
47,514500,200500
48,515500,200500
49,516500,200500
50,517500,200500
51,518500,200500
52,519500,200500
53,520500,200500
54,521500,200500
55,522500,200500
56,523500,200500
57,524500,200500
58,538500,200500
59,539500,200500
60,540500,200500
61,541500,200500
62,542500,200500
63,543500,200500
64,544500,200500
65,545500,200500
66,546500,200500
67,547500,200500
68,506500,199500
69,507500,199500
70,508500,199500
71,509500,199500
72,510500,199500
73,511500,199500
74,512500,199500
75,513500,199500
76,514500,199500
77,515500,199500
78,516500,199500
79,517500,199500
80,518500,199500
81,519500,199500
82,520500,199500
83,521500,199500
84,522500,199500
85,523500,199500
86,524500,199500
87,538500,199500
88,539500,199500
89,540500,199500
90,541500,199500
91,542500,199500
92,543500,199500
93,544500,199500
94,545500,199500
95,546500,199500
96,547500,199500
97,548500,199500
98,504500,198500
99,505500,198500
100,506500,198500
101,507500,198500
102,508500,198500
103,509500,198500
104,510500,198500
105,511500,198500
106,512500,198500
107,513500,198500
108,514500,198500
109,515500,198500
110,516500,198500
111,538500,198500
112,539500,198500
113,540500,198500
114,541500,198500
115,542500,198500
116,543500,198500
117,544500,198500
118,545500,198500
119,546500,198500
120,547500,198500
121,548500,198500
122,549500,198500
123,550500,198500
124,504500,197500
125,505500,197500
126,506500,197500
127,507500,197500
128,508500,197500
129,509500,197500
130,510500,197500
131,511500,197500
132,512500,197500
133,513500,197500
134,514500,197500
135,515500,197500
136,516500,197500
137,538500,197500
138,539500,197500
139,540500,197500
140,541500,197500
141,542500,197500
142,543500,197500
143,544500,197500
144,545500,197500
145,546500,197500
146,547500,197500
147,548500,197500
148,549500,197500
149,550500,197500
150,551500,197500
151,552500,197500
152,503500,196500
153,504500,196500
154,505500,196500
155,506500,196500
156,507500,196500
157,508500,196500
158,509500,196500
159,510500,196500
160,511500,196500
161,512500,196500
162,513500,196500
163,514500,196500
164,515500,196500
165,516500,196500
166,541500,196500
167,542500,196500
168,543500,196500
169,544500,196500
170,545500,196500
171,546500,196500
172,547500,196500
173,548500,196500
174,549500,196500
175,550500,196500
176,551500,196500
177,552500,196500
178,553500,196500
179,503500,195500
180,504500,195500
181,505500,195500
182,506500,195500
183,507500,195500
184,508500,195500
185,509500,195500
186,510500,195500
187,511500,195500
188,512500,195500
189,513500,195500
190,514500,195500
191,515500,195500
192,516500,195500
193,541500,195500
194,542500,195500
195,543500,195500
196,544500,195500
197,545500,195500
198,546500,195500
199,547500,195500
200,548500,195500
201,549500,195500
202,550500,195500
203,551500,195500
204,552500,195500
205,553500,195500
206,554500,195500
207,502500,194500
208,503500,194500
209,504500,194500
210,505500,194500
211,506500,194500
212,507500,194500
213,508500,194500
214,509500,194500
215,502500,193500
216,502500,192500
217,502500,191500
218,501500,190500
219,502500,190500
220,501500,189500
221,502500,189500
222,501500,188500
223,502500,188500
224,501500,187500
225,502500,187500
226,501500,186500
227,502500,186500
228,501500,185500
229,502500,185500
230,502500,184500
231,555500,177500
232,556500,177500
233,557500,177500
234,555500,176500
235,556500,176500
236,557500,176500
237,555500,175500
238,556500,175500
239,502500,174500
240,555500,174500
241,556500,174500
242,502500,173500
243,555500,173500
244,501500,172500
245,502500,172500
246,503500,172500
247,504500,172500
248,505500,172500
249,506500,172500
250,555500,172500
251,501500,171500
252,502500,171500
253,503500,171500
254,504500,171500
255,505500,171500
256,506500,171500
257,555500,171500
258,501500,170500
259,502500,170500
260,503500,170500
261,504500,170500
262,505500,170500
263,506500,170500
264,501500,169500
265,502500,169500
266,503500,169500
267,504500,169500
268,505500,169500
269,506500,169500
270,507500,169500
271,508500,169500
272,509500,169500
273,510500,169500
274,501500,168500
275,502500,168500
276,503500,168500
277,504500,168500
278,505500,168500
279,506500,168500
280,507500,168500
281,508500,168500
282,509500,168500
283,510500,168500
284,551500,168500
285,552500,168500
286,553500,168500
287,501500,167500
288,502500,167500
289,503500,167500
290,504500,167500
291,505500,167500
292,506500,167500
293,507500,167500
294,508500,167500
295,509500,167500
296,510500,167500
297,551500,167500
298,552500,167500
299,553500,167500
300,502500,166500
301,503500,166500
302,504500,166500
303,505500,166500
304,506500,166500
305,507500,166500
306,508500,166500
307,509500,166500
308,510500,166500
309,511500,166500
310,512500,166500
311,513500,166500
312,514500,166500
313,515500,166500
314,551500,166500
315,552500,166500
316,503500,165500
317,504500,165500
318,505500,165500
319,506500,165500
320,507500,165500
321,508500,165500
322,509500,165500
323,510500,165500
324,511500,165500
325,512500,165500
326,513500,165500
327,514500,165500
328,515500,165500
329,551500,165500
330,503500,164500
331,504500,164500
332,505500,164500
333,506500,164500
334,507500,164500
335,508500,164500
336,509500,164500
337,510500,164500
338,511500,164500
339,512500,164500
340,513500,164500
341,514500,164500
342,515500,164500
343,551500,164500
344,504500,163500
345,505500,163500
346,506500,163500
347,507500,163500
348,508500,163500
349,509500,163500
350,510500,163500
351,511500,163500
352,512500,163500
353,513500,163500
354,514500,163500
355,515500,163500
356,504500,162500
357,505500,162500
358,506500,162500
359,507500,162500
360,508500,162500
361,509500,162500
362,510500,162500
363,511500,162500
364,512500,162500
365,513500,162500
366,514500,162500
367,515500,162500
368,505500,161500
369,506500,161500
370,507500,161500
371,508500,161500
372,509500,161500
373,510500,161500
374,511500,161500
375,512500,161500
376,513500,161500
377,514500,161500
378,515500,161500
379,505500,160500
380,506500,160500
381,507500,160500
382,508500,160500
383,509500,160500
384,510500,160500
385,511500,160500
386,512500,160500
387,513500,160500
388,514500,160500
389,515500,160500
390,506500,159500
391,507500,159500
392,508500,159500
393,509500,159500
394,510500,159500
395,511500,159500
396,512500,159500
397,513500,159500
398,514500,159500
399,515500,159500
400,508500,158500
401,509500,158500
402,510500,158500
403,511500,158500
404,512500,158500
405,513500,158500
406,514500,158500
407,515500,158500
408,516500,158500
409,517500,158500
410,518500,158500
411,519500,158500
412,520500,158500
413,521500,158500
414,522500,158500
415,523500,158500
416,524500,158500
